image_name,image_id,image_status,ori_w,ori_h,image_w,image_h
01.-elevacion.jpg,02b624a9-091b-4b29-8d46-99fe9d171ac2,OK,600,800,600,800
01.JPG,7159f89f-450b-4afe-944c-b0f5162d1025,OK,480,640,480,640
02.JPG,997c5cdf-263e-4284-947b-93cdd423d175,OK,480,640,480,640
25.JPG,8526574d-0509-4788-87b3-41077b8275c0,OK,480,640,480,640
41.JPG,3d8d9528-ff25-432d-b3e4-bc850d364ed4,OK,640,480,640,480
CIMG0010.JPG,b1c72d00-fa5a-4195-9322-496bc9b59686,OK,1620,2160,900,1200
CIMG0030.JPG,0609181b-f5c1-4b3e-bec0-52e74472be49,OK,1620,2160,900,1200
CIMG0031.JPG,30a118e7-54f4-4890-8a03-6ee6dad30fd1,OK,1620,2160,900,1200
CIMG0042.JPG,6ca30fa4-b181-4728-8f07-2a20be89b005,OK,1620,2160,900,1200
CIMG0043.JPG,04002415-e872-4cbb-b44d-49b7d7e122b7,OK,1620,2160,900,1200
CIMG0056.JPG,70508602-1109-4507-ae5b-ac81fb43738b,OK,2160,1620,1200,900
CIMG0059.JPG,d65c21bc-3f7f-4829-aefc-87a5b9a5fdd0,OK,2160,1620,1200,900
CIMG0061.JPG,b719e439-5894-4a1c-8056-2058c9eea1e6,OK,2160,1620,1200,900
CIMG0077.JPG,2bde7b74-30ff-400a-9791-24d4db8cf6a4,OK,2160,1620,1200,900
CIMG0097.JPG,300924ce-6be2-4d15-82b9-3aeb5a01cc3e,OK,1620,2160,900,1200
CIMG0099.JPG,298a0efd-54b5-4d96-9ab7-9213b0837379,OK,1620,2160,900,1200
CIMG0102.JPG,03746d7f-3000-49d1-b9ea-5b180b0c10ff,OK,1620,2160,900,1200
CIMG0103.JPG,8f8069f8-5753-446a-b2ef-0467a9b410ec,OK,1620,2160,900,1200
CIMG0106.JPG,247f2212-f97c-4f4f-b399-b05794c150f4,OK,1620,2160,900,1200
CIMG0109.JPG,7bd96d56-17eb-4089-b2d3-74756ae132bb,OK,1620,2160,900,1200
CIMG0337.JPG,09de6ba7-5086-42ee-a4e7-53ebf68e0081,OK,1620,2160,900,1200
CIMG0338.JPG,e2914347-779e-4750-9f79-a342b202772a,OK,1620,2160,900,1200
CIMG0348.JPG,81f67221-2b00-49f8-ba89-fd4010e81590,OK,1620,2160,900,1200
CIMG0359.JPG,a3af2b19-52e6-430a-8b60-f0c964c59dc5,OK,1620,2160,900,1200
CIMG0360.JPG,3819604e-0085-48e1-9153-e16510929d04,OK,1620,2160,900,1200
CIMG0372.JPG,3b53429a-0ae2-4260-a09b-3494a9e1f9ef,OK,1620,2160,900,1200
CIMG0386.JPG,26ff12d6-08ea-4bc8-adbf-e42b5ed04fcc,OK,1620,2160,900,1200
CIMG0387.JPG,feb6cace-47b3-4c0b-99ee-30806ff6a2a6,OK,2160,1620,1200,900
CIMG0389.JPG,e7ccf3ec-64b0-4cd0-85c2-159adc9a9b1f,OK,2160,1620,1200,900
CIMG0413.JPG,63494110-183a-4847-be15-143fa2038ad0,OK,2160,1620,1200,900
CIMG0415.JPG,b5ba966a-b5dd-4043-946e-42669f48c3d9,OK,2160,1620,1200,900
CIMG0435.JPG,8f8cc9d1-899d-417d-a368-d06325600944,OK,2160,1620,1200,900
CIMG0436.JPG,1ec21fb8-9122-40e9-9131-d1911448d0fc,OK,2160,1620,1200,900
